MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/24/2024 13:10:20,1.16.3,FreeFeed,5,4.11,1,1,Pellet,Left,0,0,1,0,4.04,nan,nan
7/24/2024 13:18:35,1.16.3,FreeFeed,5,4.10,3,1,Pellet,Left,0,0,2,0,Timed_out,495,nan
7/24/2024 13:19:19,1.16.3,FreeFeed,5,4.11,2,1,Pellet,Left,0,0,3,0,5.06,44,nan
7/24/2024 13:22:13,1.16.3,FreeFeed,5,4.10,1,1,Pellet,Left,0,0,4,0,Timed_out,174,nan
7/24/2024 13:28:27,1.16.3,FreeFeed,5,4.10,nan,1,LeftWithPellet,Left,1,0,4,0,nan,nan,0.60
7/24/2024 13:31:12,1.16.3,FreeFeed,5,4.10,1,1,Pellet,Left,1,0,5,0,Timed_out,539,nan
7/24/2024 14:56:23,1.16.3,FreeFeed,5,4.10,1,1,Pellet,Left,1,0,6,0,Timed_out,5111,nan
7/24/2024 15:25:44,1.16.3,FreeFeed,5,4.09,3,1,Pellet,Left,1,0,7,0,Timed_out,1761,nan
7/24/2024 15:26:22,1.16.3,FreeFeed,5,4.09,2,1,Pellet,Left,1,0,8,0,1.13,38,nan
7/24/2024 15:26:59,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,9,0,0.06,37,nan
7/24/2024 15:27:38,1.16.3,FreeFeed,5,4.09,2,1,Pellet,Left,1,0,10,0,2.27,39,nan
7/24/2024 15:30:40,1.16.3,FreeFeed,5,4.09,2,1,Pellet,Left,1,0,11,0,Timed_out,182,nan
7/24/2024 15:31:43,1.16.3,FreeFeed,5,4.09,2,1,Pellet,Left,1,0,12,0,26.39,63,nan
7/24/2024 15:32:19,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,13,0,4.36,36,nan
7/24/2024 16:01:19,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,14,0,Timed_out,1740,nan
7/24/2024 16:21:05,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,15,0,Timed_out,1186,nan
7/24/2024 16:21:44,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,16,0,2.27,39,nan
7/24/2024 16:22:16,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,17,0,0.06,32,nan
7/24/2024 16:22:55,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,18,0,1.70,39,nan
7/24/2024 16:23:35,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,19,0,3.60,39,nan
7/24/2024 16:24:33,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,20,0,22.32,59,nan
7/24/2024 16:25:11,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,21,0,0.82,38,nan
7/24/2024 16:46:21,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,22,0,Timed_out,1270,nan
7/24/2024 17:05:17,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,23,0,Timed_out,1136,nan
7/24/2024 17:10:29,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,24,0,Timed_out,312,nan
7/24/2024 17:11:08,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,25,0,1.51,39,nan
7/24/2024 17:11:58,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,26,0,13.62,50,nan
7/24/2024 17:12:37,1.16.3,FreeFeed,5,4.09,1,1,Pellet,Left,1,0,27,0,2.52,39,nan
7/24/2024 17:25:28,1.16.3,FreeFeed,5,4.08,1,1,Pellet,Left,1,0,28,0,Timed_out,771,nan
